title,year,infobox
At War with the Army,1950,"{'Directed by': ['Hal Walker', '', ''], 'Written by': ['Fred Finklehoffe', '', ''], 'Based on': [' (play)', 'by ', 'James Allardice', '', ''], 'Produced by': ['Fred Finklehoffe', '', ''], 'Starring': ['Jimmy Dundee', 'Dean Martin', 'Jerry Lewis', 'Mike Kellin', 'Polly Bergen', '', ''], 'Cinematography': ['Stuart Thompson', '', ''], 'Edited by': ['Paul Weatherwax', '', ''], 'Music by': ['Joseph Lilley', '', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['December\xa031,\xa01950', ' (San Francisco)', '\n \n', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['less than $500,000', '', ''], 'Box office': ['$3.3 million (US rentals)', '1,464,218 admissions (France)', '', '']}"
Babul,1950,"{'Directed by': ['S. U. Sunny', '', ''], 'Written by': ['Azmi Bazidpuri', '', ''], 'Produced by': ['Naushad', '', ''], 'Starring': ['Dilip Kumar', 'Nargis', 'Munawar Sultana', '', ''], 'Cinematography': ['Fali Mistry', '', ''], 'Edited by': ['Moosa Mansoor', '', ''], 'Music by': ['Naushad', '', ''], 'Release date': ['15\xa0December\xa01950', '', ''], 'Running time': ['142 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', ''], 'Released': ['1950', '', ''], '': ['Feature film soundtrack', '', '']}"
Backfire,1950,"{'Directed by': ['Vincent Sherman', '', ''], 'Screenplay by': ['Ivan Goff', 'Larry Marcus', 'Ben Roberts', '', ''], 'Story by': ['Larry Marcus', '', ''], 'Produced by': ['Anthony Veiller', '', ''], 'Starring': [""Edmond O'Brien"", 'Virginia Mayo', 'Gordon MacRae', 'Dane Clark', 'Viveca Lindfors', '', ''], 'Cinematography': ['Carl E. Guthrie', '', ''], 'Edited by': ['Thomas Reilly', '', ''], 'Music by': ['Daniele Amfitheatrof', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['January\xa026,\xa01950', ' (New York City)', '\n \n', ''], 'Running time': ['91 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
The Bandit Queen,1950,"{'Directed by': ['William Berke', '', ''], 'Written by': ['Orville H. Hampton', '(additional dialogue)', '', ''], 'Screenplay by': ['Victor West', 'Budd Lesser', '', ''], 'Story by': ['Victor West', '', ''], 'Produced by': ['William Berke', 'Murray Lerner', 'Robert L. Lippert', '', ''], 'Starring': ['Barbara Britton', 'Willard Parker', 'Phillip Reed', '', ''], 'Cinematography': ['Ernest Miller', '(as Ernest W. Miller)', '', ''], 'Edited by': ['Carl Pierson', '', ''], 'Music by': ['Albert Glasser', '', ''], 'Production company': ['Lippert Pictures', ''], 'Distributed by': ['Lippert Pictures', '', ''], 'Release dates': ['December\xa09,\xa01950', ' (Premiere)', 'December\xa022,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['70 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
The Baron of Arizona,1950,"{'Directed by': ['Samuel Fuller', '', ''], 'Screenplay by': ['Samuel Fuller', '', ''], 'Based on': ['1949 article in  by ', '', 'adapted from', 'material owned by', 'first published in ', 'Homer Croy', 'Sam White'], 'Produced by': ['Carl Hittleman', 'Sam White', 'Robert L. Lippert', '', ''], 'Starring': ['Vincent Price', 'Ellen Drew', '', ''], 'Cinematography': ['James Wong Howe', '', ''], 'Edited by': ['Arthur Hilton', '', ''], 'Music by': ['Paul Dunlap', '', ''], 'Production company': ['Deputy Corporation', ''], 'Distributed by': ['Lippert Pictures', '', ''], 'Release date': ['March\xa04,\xa01950', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$135,000', '', '']}"
Beauty and the Devil,1950,"{'Directed by': ['René Clair', '', ''], 'Written by': ['René Clair', 'Armand Salacrou', '', ''], 'Produced by': [""Salvo D'Angelo"", '', ''], 'Starring': ['Michel Simon', 'Gérard Philipe', '', ''], 'Cinematography': ['Michel Kelber', '', ''], 'Edited by': ['James Cuenet', '', ''], 'Music by': ['Roman Vlad', '', ''], 'Distributed by': [' ', 'ENIC ', 'Les Films Corona', '', ''], 'Release dates': ['16\xa0March\xa01950', ' (France)', '14\xa0April\xa01950', ' (Italy)', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Countries': ['France ', ' Italy', '', ''], 'Language': ['French', '', ''], 'Box office': ['2,538,884 admissions (France)', '', '']}"
Beqasoor,1950,"{'Directed by': ['K. Amarnath', '', ''], 'Written by': ['Madhusudan', 'Ehsan Rizvi', '', ''], 'Story by': ['K. Amarnath', '', ''], 'Produced by': ['M. R. Navalkar', '', ''], 'Starring': ['Madhubala', 'Ajit', 'Yakub', 'Gope', '', ''], 'Music by': ['Anil Biswas', '', ''], 'Distributed by': ['Madhukar Pictures', '', ''], 'Release date': ['2\xa0June\xa01950', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', ''], 'Box office': [' ', '0.9 crore (', ' ', '125.3 crore as of 2016)', '', '']}"
The Big Lift,1950,"{'Directed by': ['George Seaton', '', ''], 'Written by': ['George Seaton', '', ''], 'Produced by': ['William Perlberg', '', ''], 'Starring': ['Montgomery Clift', 'Paul Douglas', 'Cornell Borchers', 'Bruni Löbel', 'O.E. Hasse', '\n \n', ''], 'Cinematography': ['Charles G. Clarke', '', ''], 'Edited by': ['William H. Reynolds', '', ''], 'Music by': ['Alfred Newman', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['20th Century Fox', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['April\xa026,\xa01950', '\n \n', ''], 'Running time': ['120 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.3 million', '', '']}"
Bitter Springs,1950,"{'Directed by': ['Ralph Smart', '', ''], 'Written by': ['Monja Danischewsky', 'W. P. Lipscomb', '', ''], 'Based on': ['Story by Ralph Smart', '', ''], 'Produced by': [' (assoc)', 'Michael Balcon', 'Leslie Norman', '', ''], 'Starring': ['Tommy Trinder', 'Chips Rafferty', 'Gordon Jackson', '', ''], 'Cinematography': ['George Heath', '', ''], 'Edited by': ['Bernard Gribble', '', ''], 'Music by': ['Ralph Vaughan Williams', '', ''], 'Production company': ['', 'Ealing Studios'], 'Distributed by': ['General Film Distributors', '', ''], 'Release dates': ['24\xa0June\xa01950', ' (Australia)', '6\xa0July\xa01950', ' (UK)', '\n \n', ''], 'Running time': ['86 minutes', '', ''], 'Countries': ['Australia', 'United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£100,000', '', ''], 'Box office': ['£114,000', '', '']}"
The Black Forest Girl,1950,"{'Directed by': ['Hans Deppe', '', ''], 'Written by': ['Bobby E. Lüthge', '', ''], 'Based on': [' ', 'by ', 'August Neidhart', '', ''], 'Produced by': ['Kurt Ulrich', '', ''], 'Starring': ['Paul Hörbiger', 'Sonja Ziemann', 'Rudolf Prack', '', ''], 'Cinematography': ['Kurt Schulz', '', ''], 'Edited by': ['Margarete Steinborn', '', ''], 'Music by': ['Frank Fox', 'Leon Jessel', '', ''], 'Production company': ['', 'Berolina Film'], 'Distributed by': ['Herzog-Filmverleih', '', ''], 'Release date': ['7\xa0September\xa01950', '\n \n', ''], 'Running time': ['100 minutes', '', ''], 'Country': ['West Germany', '', ''], 'Language': ['German', '', '']}"
The Black Rose,1950,"{'Directed by': ['Henry Hathaway', '', ''], 'Written by': [' (novel)', 'Thomas B. Costain', '', ''], 'Screenplay by': ['Talbot Jennings', '', ''], 'Based on': ['', ''], 'Produced by': ['Louis D. Lighton', '', ''], 'Starring': ['Tyrone Power', 'Orson Welles', 'Cécile Aubry', 'Jack Hawkins', '', ''], 'Cinematography': ['Jack Cardiff', '', ''], 'Edited by': ['Manuel del Campo', '', ''], 'Music by': ['Richard Addinsell', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['Twentieth Century-Fox Film Productions', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['September\xa01,\xa01950', '\n \n', ''], 'Running time': ['121 minutes', '', ''], 'Countries': ['United States', 'United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2.65 million (US rentals)', '', '']}"
The Blue Lamp,1950,"{'Directed by': ['Basil Dearden', '', ''], 'Screenplay by': ['T.E.B. Clarke', '', ''], 'Based on': ['Original treatment by Jan Read and ', 'Ted Willis', '', ''], 'Produced by': ['Michael Balcon', '', ''], 'Starring': ['Jack Warner', 'Jimmy Hanley', 'Dirk Bogarde', 'Robert Flemyng', '', ''], 'Cinematography': ['Gordon Dines', '', ''], 'Edited by': ['Peter Tanner', '', ''], 'Music by': [' ', 'Ernest Irving', 'Jack Parnell', '', ''], 'Production company': ['', 'Ealing Studios'], 'Distributed by': ['General Film Distributors', '', ''], 'Release date': ['20\xa0January\xa01950', ' (UK', ')', '\n \n', ''], 'Running time': ['85 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['£246,000', '', '']}"
Born to Be Bad,1950,"{'Directed by': ['Nicholas Ray', '', ''], 'Screenplay by': [' (adaptation) ', 'Robert Soderberg (additional dialogue)', ' (additional dialogue)', 'Edith Sommer', 'Charles Schnee', 'George Oppenheimer', '', ''], 'Based on': ['the novel ', 'by ', 'Anne Parrish', '', ''], 'Produced by': ['Robert Sparks', '', ''], 'Starring': ['Joan Fontaine', 'Robert Ryan', 'Zachary Scott', 'Joan Leslie', 'Mel Ferrer', '', ''], 'Cinematography': ['Nicholas Musuraca', '', ''], 'Edited by': ['Frederic Knudtson', '', ''], 'Music by': ['Frederick Hollander', '', ''], 'Distributed by': ['RKO Radio Pictures', '', ''], 'Release date': ['July\xa015,\xa01950', ' (', ')', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Born Yesterday,1950,"{'Directed by': ['George Cukor', '', ''], 'Written by': ['Garson Kanin (', ')', 'Albert Mannheimer', '', ''], 'Based on': ['1946 play', 'by ', 'Garson Kanin', '', ''], 'Produced by': ['S. Sylvan Simon', '', ''], 'Starring': ['Judy Holliday', 'Broderick Crawford', 'William Holden', '', ''], 'Cinematography': ['Joseph Walker', '', ''], 'Edited by': ['Charles Nelson', '', ''], 'Music by': ['Frederick Hollander', '', ''], 'Production company': ['Columbia Pictures', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['December\xa025,\xa01950', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$4.15 million (US rentals)', '', '']}"
The Breaking Point,1950,"{'Directed by': ['Michael Curtiz', '', ''], 'Screenplay by': ['Ranald MacDougall', '', ''], 'Based on': ['by ', 'Ernest Hemingway', '', ''], 'Produced by': ['Jerry Wald', '', ''], 'Starring': ['John Garfield', 'Patricia Neal', 'Phyllis Thaxter', 'Juano Hernandez', '', ''], 'Cinematography': ['Ted D. McCord', '', ''], 'Edited by': ['Alan Crosland Jr.', '', ''], 'Music by': ['Max Steiner', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['September\xa030,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Bright Leaf,1950,"{'Directed by': ['Michael Curtiz', '', ''], 'Screenplay by': ['Ranald MacDougall', '', ''], 'Based on': ['by ', 'Foster Fitz-Simons', '', ''], 'Produced by': ['Henry Blanke', '', ''], 'Starring': ['Gary Cooper', 'Lauren Bacall', 'Patricia Neal', '\n \n', ''], 'Cinematography': ['Karl Freund', '', ''], 'Edited by': ['Owen Marks', '', ''], 'Music by': ['Victor Young', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['July\xa02,\xa01950', ' (USA)', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,944,000', '', ''], 'Box office': ['$2,446,000', '$1,750,000 (US/Canada rentals)', '', '']}"
Broken Arrow,1950,"{'Directed by': ['Delmer Daves', '', ''], 'Screenplay by': ['Albert Maltz', '', ''], 'Based on': [' by ', 'Elliott Arnold', '', ''], 'Produced by': ['Julian Blaustein', '', ''], 'Starring': ['James Stewart', 'Jeff Chandler', 'Debra Paget', 'Basil Ruysdael', 'Will Geer', 'Arthur Hunnicutt', '', ''], 'Cinematography': ['Ernest Palmer', '', ''], 'Edited by': ['J. Watson Webb Jr.', '', ''], 'Music by': ['Hugo Friedhofer', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['20th Century Fox', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['July\xa020,\xa01950', '\n \n', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$3.6 million (US rentals)', '', '']}"
Café Paradis,1950,"{'Directed by': ['Bodil Ipsen', 'Lau Lauritzen Jr.', '', ''], 'Written by': ['Johannes Allen', '', ''], 'Starring': ['Poul Reichhardt', 'Ib Schønberg', '', ''], 'Cinematography': ['Rudolf Frederiksen', '', ''], 'Edited by': ['Marie Ejlersen', '', ''], 'Music by': ['Sven Gyldmark', '', ''], 'Distributed by': ['ASA Film', '', ''], 'Release date': ['1950', '\n \n', ''], 'Running time': ['101 mins', '', ''], 'Country': ['Denmark', '', ''], 'Language': ['Danish', '', '']}"
Caged,1950,"{'Directed by': ['John Cromwell', '', ''], 'Written by': ['Bernard C. Schoenfeld', 'Virginia Kellogg', '', ''], 'Screenplay by': ['Virginia Kellogg', '', ''], 'Based on': [' by Kellogg and Schoenfeld', '', ''], 'Produced by': ['Jerry Wald', '', ''], 'Starring': ['Eleanor Parker', 'Agnes Moorehead', 'Betty Garde', 'Hope Emerson', 'Ellen Corby', '\n \n', ''], 'Cinematography': ['Carl E. Guthrie', '', ''], 'Edited by': ['Owen Marks', '', ''], 'Music by': ['Max Steiner', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['May\xa019,\xa01950', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.5 million', '', '']}"
Caiçara,1950,"{'Directed by': ['John Waterhouse', 'Adolfo Celi', 'Tom Payne', '', ''], 'Written by': ['Adolfo Celi', 'Ruggero Jacobbi', 'Alberto Cavalcanti', '', ''], 'Produced by': ['Alberto Cavalcanti', '', ''], 'Starring': ['Eliane Lage', 'Abílio Pereira de Almeida', 'Carlos Vergueiro', 'Mário Sérgio', '', ''], 'Cinematography': ['H. E. Fowle', '', ''], 'Edited by': ['Oswald Hafenrichter', '', ''], 'Music by': ['Francisco Mignone', '', ''], 'Production company': ['', 'Vera Cruz'], 'Distributed by': ['Universal Filmes', 'Marte Filmes', '', ''], 'Release date': ['1\xa0November\xa01950', '\n \n', ''], 'Running time': ['92 minutes', '', ''], 'Country': ['Brazil', '', ''], 'Language': ['Portuguese', '', '']}"
"Captain Carey, U.S.A.",1950,"{'Directed by': ['Mitchell Leisen', '', ''], 'Screenplay by': ['Robert Thoeren', '', ''], 'Based on': ['by ', 'Martha Albrand', '', ''], 'Produced by': ['Richard Maibaum', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Alan Ladd', 'Wanda Hendrix', 'Francis Lederer', '', ''], 'Cinematography': ['John F. Seitz', '', ''], 'Edited by': ['Alma Macrorie', '', ''], 'Music by': ['Hugo Friedhofer', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Paramount Pictures', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['February\xa021,\xa01950', '\n \n', ''], 'Running time': ['83 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1,625,000', '', '']}"
Captain China,1950,"{'Directed by': ['Lewis R. Foster', '', ''], 'Screenplay by': ['Lewis R. Foster', 'Gwen Bagni', '', ''], 'Story by': ['John Bagni', 'Gwen Bagni', '', ''], 'Produced by': ['William H. Pine', 'William C. Thomas', '', ''], 'Starring': ['John Payne', 'Gail Russell', 'Jeffrey Lynn', 'Lon Chaney Jr.', 'Edgar Bergen', ""Michael O'Shea"", 'Ellen Corby', '', ''], 'Cinematography': ['John Alton', '', ''], 'Edited by': ['Howard A. Smith', '', ''], 'Music by': ['Lucien Cailliet', 'Josef Marais', '', ''], 'Production company': ['', 'Pine-Thomas Productions'], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['February\xa02,\xa01950', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Champagne for Caesar,1950,"{'Directed by': ['Richard Whorf', '', ''], 'Written by': ['Fred Brady and ', 'Hans Jacoby', '', ''], 'Produced by': ['George Moskov', 'Leo C. Popkin', '', ''], 'Starring': ['Ronald Colman', 'Celeste Holm', 'Vincent Price', '', ''], 'Cinematography': ['Paul Ivano', '', ''], 'Edited by': ['Hugh Bennett', '', ''], 'Music by': ['Dimitri Tiomkin', '', ''], 'Production company': ['Cardinal Pictures', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['May\xa011,\xa01950', '\n \n', ''], 'Running time': ['99 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Cheaper by the Dozen,1950,"{'Directed by': ['Walter Lang', '', ''], 'Screenplay by': ['Lamar Trotti', '', ''], 'Based on': ['1948 novel', 'by ', 'Ernestine Gilbreth Carey', 'Frank Bunker Gilbreth Jr.', '', ''], 'Produced by': ['Lamar Trotti', '', ''], 'Starring': ['Clifton Webb', 'Jeanne Crain', 'Myrna Loy', 'Betty Lynn', 'Edgar Buchanan', 'Barbara Bates', 'Mildred Natwick', 'Sara Allgood', '', ''], 'Narrated by': ['Jeanne Crain', '', ''], 'Cinematography': ['Leon Shamroy', '', ''], 'Edited by': ['James Watson Webb Jr.', '', ''], 'Music by': ['Cyril J. Mockridge', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['20th Century Fox', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['April\xa01950', '\n \n', ''], 'Running time': ['85 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1.7 million', '', ''], 'Box office': ['$4.3-4.425 million (U.S. and Canada rentals)', '', '']}"
